,Mark,belong,url
1324,GARTCRAIG 3,My own brick examples,https://www.scottishbrickhistory.co.uk/gartcraig-3-2/
1325,GARTCRAIG 4,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/gartcraig-4-2/
1326,GARTEX SCOTLAND      definitely_  ,My own brick examples,https://www.scottishbrickhistory.co.uk/gartex-scotland/
1327,GARTFIRE       definitely_  ,My own brick examples,https://www.scottishbrickhistory.co.uk/gartfire/
1328,GARTFIRE SCOTLAND  .,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/gartfire-scotland-brick-found-on-the-st-croix-river-robbinston-maine-usa/
1329,GARTLISTON PH FIRE CLAY WORKS,My own brick examples,https://www.scottishbrickhistory.co.uk/gartliston-fire-brick-works/
1330,GARTSHORE,My own brick examples,https://www.scottishbrickhistory.co.uk/gartshore-3/
1331,GARTSHORE,My own brick examples,https://www.scottishbrickhistory.co.uk/gartshore/
1332,GARTSHORE,My own brick examples,https://www.scottishbrickhistory.co.uk/gartshore-2/
1333,GARTOCHER,My own brick examples,https://www.scottishbrickhistory.co.uk/gartocher-2/
1334,GARTVERRIE,My own brick examples,https://www.scottishbrickhistory.co.uk/gartverrie/
1335,GARTVERRIE ROMAN,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=47652&preview=true
1336,GATESIDE,My own brick examples,https://www.scottishbrickhistory.co.uk/gateside/
1337,GATESIDE,My own brick examples,https://www.scottishbrickhistory.co.uk/gateside/
1338,GATESIDE,My own brick examples,https://www.scottishbrickhistory.co.uk/gateside-3/
1339,GEC & S CARDOWAN,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/?p=50379&preview=true
1340,GEM,My own brick examples,https://www.scottishbrickhistory.co.uk/gem/
1341,GEM,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-5/
1342,GEM,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-2/
1343,GEM,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-3/
1344,GEM,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-4/
1345,GEM,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-6/
1346,GEM FCAB,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-fcab/
1347,GEM MADE IN GT BRITAIN,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-made-in-gt-britain/
1348,GEM X,My own brick examples,https://www.scottishbrickhistory.co.uk/gem-x/
1349,GIBB & SONS AUCHINLEE,My own brick examples,https://www.scottishbrickhistory.co.uk/gibb-sons-auchinlee/
1350,GIBB & SONS AUCHINLEE,My own brick examples,https://www.scottishbrickhistory.co.uk/gibb-sons-auchinlee-3/
1351,GIBB & SONS AUCHINLEE,My own brick examples,https://www.scottishbrickhistory.co.uk/gibb-sons-auchinlee-4/
1352,GIBB & SONS AUCHINLEE,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=52578&preview=true
1353,GIBB & SONS AUCHINLEE,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/gibb-sons-auchinlee-2/
1354,GIBB & SON.S AUCHINLEE,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=53719&preview=true
1355,GILBERTFIELD,My own brick examples,https://www.scottishbrickhistory.co.uk/gilbertfield/
1356,GILBERTFIELD,My own brick examples,http://wwhttps://www.scottishbrickhistory.co.uk/gilbertfield-2/w.scottishbrickhistory.co.uk/gilbertfield/
1357,GILBERTFIELD,My own brick examples,https://www.scottishbrickhistory.co.uk/gilbertfield-3/
1358,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1868,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=56500&preview=true
1359,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1869,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-glasgow-1869/
1360,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1870,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-glasgow-1870/
1361,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1872,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-glasgow-1872/
1363,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1875,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-18-glasgow-75/
1364,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1876,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-glasgow-1876/
1365,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1878,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-glasgow-1878/
1366,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1880,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=39988&preview=true
1367,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1881,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-glasgow-1881/
1368,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1882,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-crow-road-partick-glasgow-1882/
1369,GILCHRIST & GOLDIE LANGSIDE ROAD GLASGOW,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-langside-road-glasgow/
1370,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1865,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/gilchrist-and-goldie-old-langside-road-glasgow-1856/
1371,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1866,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-old-langside-road-glasgow-1866/
1372,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1867,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-old-langside-road-glasgow-1867/
1373,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1868,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-old-langside-road-glasgow-1868/
1374,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1870,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=39124&preview=true
1375,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1873,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-old-langside-road-glasgow-1873/
1376,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1875,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-old-langside-road-glasgow-1875/
1377,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1877,My own brick examples,https://www.scottishbrickhistory.co.uk/gilchrist-goldie-old-langside-road-glasgow-1877/
